batch_id,machine_id,shift,operator_experience_years,melt_temperature_c,mold_temperature_c,injection_pressure_bar,injection_speed_mm_s,screw_speed_rpm,back_pressure_bar,hold_pressure_bar,hold_time_s,cooling_time_s,cycle_time_s,material_moisture_pct,ambient_humidity_pct,part_weight_g,defect,defect_type
B100726,M1,Night,4.4,235.56,62.68,108.4,73.45,129.6,14.52,77.81,2.78,16.45,23.5,0.1194,75.0,50.065,1,burn_mark
B100727,M1,Day,7.2,240.09,68.4,119.56,57.51,113.7,10.3,76.51,6.88,12.04,26.75,0.0321,36.81,49.882,0,none
B100728,M2,Evening,8.5,228.37,51.8,98.34,74.33,112.4,9.57,66.04,5.06,8.42,18.44,0.1379,75.0,48.912,1,short_shot
B100729,M3,Night,13.9,227.94,63.44,120.46,54.61,158.2,15.11,57.69,4.78,18.85,29.1,0.1476,40.49,49.225,0,none
B100730,M2,Night,10.1,239.74,69.27,102.66,59.98,143.3,16.8,73.3,5.29,23.65,34.61,0.0424,62.71,49.137,1,short_shot
B100731,M1,Night,11.9,234.71,44.13,102.29,62.34,107.5,14.84,95.44,5.25,19.02,29.77,0.1639,58.27,49.269,1,burn_mark
B100732,M1,Evening,4.6,230.93,53.37,118.36,80.81,93.9,20.84,73.23,7.21,17.27,29.76,0.0381,40.9,49.605,0,none
B100733,M2,Evening,4.9,234.17,33.59,135.85,79.59,105.4,11.27,60.55,3.86,9.96,20.28,0.0173,55.99,50.1,0,none
B100734,M1,Day,6.1,250.95,53.22,126.61,77.3,144.5,14.72,68.11,4.93,20.39,31.79,0.051,45.04,50.097,0,none
B100735,M3,Night,6.4,230.57,46.84,127.64,50.57,149.5,7.23,56.32,5.18,18.41,30.2,0.1877,52.75,49.357,0,none
B100736,M1,Day,3.0,230.28,52.82,118.05,45.2,133.9,14.84,70.22,3.9,19.8,30.26,0.08,51.48,49.338,0,none
B100737,M2,Evening,12.1,217.93,84.24,114.97,71.41,79.6,19.88,78.2,5.74,21.17,32.49,0.0827,46.51,49.646,0,none
B100738,M2,Night,10.5,234.58,72.18,131.87,80.65,138.8,9.83,61.69,4.41,23.93,33.93,0.0145,45.68,50.253,0,none
B100739,M2,Evening,5.8,241.57,40.61,111.55,77.44,152.6,17.37,35.0,3.39,10.43,20.94,0.005,53.41,49.057,1,burn_mark
B100740,M1,Day,9.6,243.36,60.56,132.52,60.2,124.3,19.76,73.32,6.29,9.56,21.32,0.0109,40.96,51.219,1,burn_mark
B100741,M1,Day,7.9,236.08,62.99,138.54,70.92,169.5,11.24,63.98,7.82,16.74,30.02,0.2183,41.34,50.33,0,none
B100742,M5,Night,9.9,244.56,51.62,107.38,71.18,87.0,15.87,60.99,5.57,11.39,23.89,0.0834,59.55,49.583,1,burn_mark
B100743,M1,Evening,1.6,242.31,56.78,109.58,62.23,137.1,20.32,60.89,5.35,10.52,21.85,0.035,54.28,49.585,0,none
B100744,M3,Day,6.4,246.13,57.76,111.81,62.89,94.5,14.92,74.8,5.31,22.1,32.91,0.1521,36.93,49.715,0,none
B100745,M2,Evening,6.8,244.84,41.53,98.0,61.47,146.5,17.15,65.11,4.73,10.95,21.19,0.0464,39.97,49.317,1,burn_mark
B100746,M2,Day,9.5,250.7,44.69,112.96,48.18,135.3,6.9,81.17,7.26,15.94,30.32,0.0071,28.63,50.659,1,burn_mark
B100747,M2,Night,4.5,233.3,56.72,139.52,49.71,165.0,16.39,81.43,5.64,7.84,20.07,0.0068,59.1,51.199,0,none
B100748,M4,Day,0.0,221.73,55.99,104.32,49.48,132.5,16.07,66.75,2.23,16.32,24.78,0.0825,56.89,49.496,0,none
B100749,M4,Day,2.7,241.64,47.91,139.88,36.01,109.9,8.7,63.75,7.3,21.91,34.05,0.0233,39.11,51.365,0,none
B100750,M2,Day,6.8,242.81,47.06,113.5,62.14,107.7,10.14,71.53,6.93,22.07,35.24,0.067,56.5,50.091,0,none
B100751,M2,Evening,7.3,250.7,54.1,151.71,59.39,113.7,16.42,68.26,6.4,21.22,33.41,0.0156,69.86,51.272,0,none
B100752,M1,Evening,13.7,247.81,63.86,109.77,71.43,107.2,12.79,48.97,1.5,15.61,22.2,0.0228,34.61,49.876,0,none
B100753,M2,Night,9.3,254.45,54.24,117.84,78.91,153.7,18.45,92.97,5.5,21.56,32.45,0.005,43.85,50.247,0,none
B100754,M3,Evening,7.3,241.2,71.23,106.35,79.86,151.9,15.24,78.57,6.84,18.15,31.69,0.0877,34.39,50.156,0,none
B100755,M1,Day,6.9,237.29,48.04,109.68,81.28,82.6,14.23,64.44,6.07,13.81,27.12,0.0238,59.49,49.06,0,none
B100756,M2,Day,11.4,221.15,56.93,140.07,48.64,121.0,13.32,47.0,5.81,17.91,28.66,0.0067,49.04,49.955,0,none
B100757,M5,Day,4.6,238.08,51.46,127.12,38.52,121.6,15.17,67.83,6.84,20.43,32.34,0.005,46.02,49.789,0,none
B100758,M1,Night,6.4,229.47,60.88,135.43,73.96,100.5,17.21,62.94,5.71,9.36,21.76,0.0442,52.27,50.187,0,none
B100759,M2,Day,2.6,237.12,47.18,100.27,80.73,131.0,16.14,69.27,7.31,10.7,23.59,0.0965,44.43,49.682,0,none
B100760,M4,Night,12.7,235.55,74.27,129.82,83.34,156.5,12.31,44.03,5.74,15.28,27.58,0.0972,45.98,49.222,0,none
B100761,M1,Day,8.6,239.72,38.09,105.43,67.27,142.3,18.96,64.33,5.62,9.89,21.09,0.0502,52.75,49.349,1,short_shot
B100762,M1,Day,4.2,234.03,72.15,99.94,30.05,153.7,16.63,65.06,6.84,9.82,23.24,0.2425,43.9,49.507,1,burn_mark
B100763,M1,Day,6.5,244.35,55.9,123.58,65.48,102.0,15.54,67.69,4.9,13.9,23.43,0.0531,45.31,50.071,0,none
B100764,M5,Day,9.0,207.77,60.52,123.43,68.33,120.9,14.37,67.17,3.85,20.96,31.36,0.0102,48.43,49.188,0,none
B100765,M1,Night,6.0,236.9,68.35,120.8,78.78,100.9,16.0,70.63,5.51,20.87,30.27,0.1259,50.91,49.89,0,none
B100766,M1,Evening,4.9,247.02,63.58,130.76,81.44,126.0,6.67,88.25,6.39,17.61,30.92,0.0327,56.02,51.203,0,none
B100767,M1,Day,4.4,253.7,47.7,133.1,73.64,128.2,14.97,63.82,6.89,16.9,29.76,0.0701,55.83,50.238,0,none
B100768,M1,Evening,8.4,242.32,61.0,142.05,51.19,144.0,20.56,59.07,6.9,26.44,39.77,0.129,35.0,50.721,1,burn_mark
B100769,M3,Evening,5.6,251.85,73.67,102.14,44.56,152.8,14.88,49.27,5.4,13.3,24.94,0.0477,64.08,49.535,0,none
B100770,M1,Night,5.2,236.69,46.13,142.53,68.01,137.2,14.33,63.87,5.24,17.21,26.74,0.0124,50.59,50.36,0,none
B100771,M3,Night,1.7,235.03,76.18,148.23,48.11,98.5,11.62,53.18,4.61,13.06,25.03,0.0186,46.68,50.727,0,none
B100772,M3,Evening,7.3,240.29,58.86,114.51,82.13,86.2,15.97,81.52,5.87,9.56,21.77,0.0205,40.96,49.79,0,none
B100773,M4,Night,6.3,234.97,50.67,94.97,34.43,133.0,13.22,68.85,3.04,21.92,31.72,0.005,69.89,49.627,1,short_shot
B100774,M1,Night,5.7,227.18,46.07,99.25,68.5,157.5,19.24,81.27,5.53,14.47,25.21,0.0516,73.6,49.376,0,none
B100775,M5,Evening,7.8,229.85,52.77,113.07,64.79,119.4,10.55,87.59,9.77,19.47,35.49,0.0156,68.66,49.527,0,none
B100776,M3,Evening,10.0,223.88,35.45,150.21,56.9,81.8,12.19,59.62,3.24,14.77,22.7,0.0563,51.21,49.933,0,none
B100777,M1,Day,9.8,240.28,50.85,120.26,46.12,172.1,11.6,65.83,5.74,22.23,34.12,0.1273,53.44,49.394,0,none
B100778,M4,Night,9.2,235.11,52.37,110.74,29.07,132.2,21.34,85.98,6.07,11.01,22.14,0.0347,64.91,50.209,1,warpage
B100779,M5,Night,6.0,231.4,44.26,109.72,52.03,124.3,13.24,72.27,6.26,21.82,39.09,0.005,47.59,50.053,0,none
B100780,M2,Day,4.7,229.33,62.48,100.16,52.29,90.8,11.81,76.26,4.05,20.47,31.13,0.0537,55.41,49.266,0,none
B100781,M5,Night,2.8,240.05,52.81,133.12,76.68,120.4,5.64,82.4,6.27,7.03,20.63,0.0123,52.27,50.464,0,none
B100782,M2,Night,4.6,242.8,48.64,118.62,48.26,137.2,10.35,80.76,4.7,13.42,23.86,0.005,69.19,50.179,0,none
B100783,M3,Day,7.1,223.69,51.75,151.5,66.79,132.6,16.11,74.92,3.36,21.1,30.86,0.0315,64.36,50.514,0,none
B100784,M5,Evening,3.9,222.12,58.55,129.42,40.62,103.0,16.1,86.76,6.93,24.19,38.02,0.0124,48.62,51.389,0,none
B100785,M2,Night,7.4,244.55,55.73,132.45,67.2,118.6,11.4,69.18,6.5,19.58,31.0,0.0283,65.25,50.149,1,burn_mark
B100786,M4,Night,3.1,221.25,47.99,116.37,26.43,104.6,11.62,76.23,4.05,14.02,23.39,0.1001,49.96,49.672,1,burn_mark
B100787,M2,Day,0.4,240.47,56.26,103.63,91.43,161.6,21.44,67.88,4.68,11.16,22.82,0.037,44.54,48.921,0,none
B100788,M4,Day,10.3,251.17,54.49,106.9,57.88,142.4,24.79,82.25,4.63,18.83,29.25,0.0465,47.15,50.142,0,none
B100789,M3,Evening,5.1,251.19,43.61,99.46,18.08,106.9,18.6,61.59,3.03,13.87,22.16,0.0201,51.47,49.677,0,none
B100790,M1,Day,3.7,242.38,52.11,133.66,49.23,90.8,20.24,49.81,6.64,14.08,26.09,0.0876,42.15,50.324,0,none
B100791,M2,Day,2.6,242.09,60.79,114.23,46.87,126.9,21.09,77.86,6.7,14.88,26.36,0.0776,44.82,49.966,0,none
B100792,M2,Day,8.7,257.52,60.72,134.29,50.16,107.7,22.86,57.76,5.0,20.41,29.45,0.0172,35.57,50.414,1,burn_mark
B100793,M1,Day,12.5,211.66,52.7,122.04,54.53,109.5,12.79,56.57,5.46,25.03,34.79,0.2108,41.78,49.25,1,burn_mark
B100794,M1,Evening,5.4,230.36,61.77,115.61,50.06,91.6,10.49,85.18,5.67,21.13,32.85,0.0295,52.35,50.17,0,none
B100795,M2,Evening,6.1,243.48,45.2,102.46,47.75,94.7,21.33,81.6,5.87,16.05,28.59,0.0116,60.42,50.205,1,burn_mark
B100796,M1,Evening,11.3,231.63,45.51,124.52,42.62,124.1,10.14,65.89,3.48,11.5,23.5,0.0318,59.14,50.463,1,short_shot
B100797,M1,Night,0.0,247.4,52.49,116.72,72.33,113.3,9.89,35.0,6.23,19.34,31.53,0.0136,54.3,49.757,0,none
B100798,M4,Evening,14.9,234.61,69.98,133.53,78.02,182.4,9.98,76.4,3.74,24.33,32.78,0.0436,34.71,49.889,0,none
B100799,M4,Day,16.8,236.32,56.63,109.27,56.18,134.9,13.47,77.95,6.52,21.02,33.51,0.0219,41.39,49.531,0,none
B100800,M4,Day,0.0,232.25,52.25,129.24,59.74,91.2,6.06,76.2,3.9,17.04,27.64,0.027,48.03,50.041,0,none
B100801,M2,Day,6.6,229.77,70.44,144.61,43.11,81.6,8.27,75.65,3.55,13.55,24.13,0.0533,59.63,50.941,0,none
B100802,M5,Day,4.1,229.53,52.13,124.09,61.07,130.0,11.51,67.82,5.46,17.73,30.12,0.1387,44.43,49.609,1,burn_mark
B100803,M3,Day,5.9,237.71,77.35,131.78,63.45,110.1,9.22,65.07,5.42,21.77,33.77,0.0467,37.8,50.02,1,short_shot
B100804,M1,Day,5.3,227.25,49.89,128.58,56.71,153.3,18.25,56.73,5.66,17.16,28.91,0.1152,64.48,50.148,0,none
B100805,M1,Day,10.2,244.53,44.88,148.47,65.94,127.0,14.03,61.63,4.16,15.48,26.38,0.0661,42.65,51.145,1,short_shot
B100806,M3,Evening,6.5,241.53,53.34,125.57,64.63,70.4,16.31,73.86,5.8,12.56,23.18,0.0195,38.72,50.539,0,none
B100807,M1,Evening,3.4,245.99,52.51,130.5,44.19,94.5,15.87,74.06,5.95,28.95,38.88,0.0584,52.27,50.831,0,none
B100808,M3,Night,6.3,223.71,46.92,119.46,77.9,103.1,13.17,79.48,7.25,11.55,26.89,0.0099,49.5,49.593,0,none
B100809,M5,Night,9.1,218.01,81.02,108.38,56.89,131.1,17.95,53.12,5.78,11.08,22.81,0.0357,45.0,49.098,0,none
B100810,M1,Evening,2.3,234.96,58.19,101.88,85.13,93.7,15.81,50.09,4.6,16.82,27.96,0.0068,50.0,49.205,1,short_shot
B100811,M1,Day,0.4,263.99,59.64,139.0,66.31,123.8,12.73,65.44,3.48,14.99,21.67,0.0146,40.74,51.082,0,none
B100812,M5,Evening,15.0,247.66,50.38,104.87,89.56,86.6,7.26,57.76,3.2,21.12,31.87,0.0262,44.88,49.505,1,burn_mark
B100813,M3,Day,4.4,229.46,49.22,131.19,77.63,120.2,16.08,72.23,5.98,21.29,34.43,0.35,49.64,50.454,1,burn_mark
B100814,M1,Evening,6.5,239.25,65.26,126.24,63.41,129.3,8.95,54.28,6.69,9.93,21.05,0.0501,29.64,49.788,0,none
B100815,M5,Day,5.4,242.28,38.24,133.77,49.15,156.5,15.52,84.16,4.16,12.22,22.07,0.1848,59.55,51.136,1,burn_mark
B100816,M5,Evening,9.2,221.32,43.57,112.28,49.48,126.1,14.32,60.14,5.88,11.62,23.77,0.0829,36.27,49.338,0,none
B100817,M3,Day,14.1,248.7,52.53,108.14,68.0,99.6,8.56,89.11,5.24,19.92,29.9,0.1094,40.61,50.36,1,burn_mark
B100818,M3,Evening,9.3,233.33,68.51,125.68,62.15,157.3,15.03,76.29,6.58,18.14,31.21,0.0545,60.0,50.679,1,short_shot
B100819,M2,Night,0.9,234.09,51.25,115.61,51.16,115.4,14.77,57.34,6.8,14.14,27.99,0.0144,55.69,50.234,0,none
B100820,M1,Night,1.5,235.24,59.16,101.53,72.5,139.3,14.78,95.14,2.1,17.08,25.51,0.0311,50.87,50.036,0,none
B100821,M3,Evening,5.4,246.45,55.28,149.08,60.58,104.7,14.59,73.19,7.05,10.37,21.85,0.1078,32.92,51.24,1,burn_mark
B100822,M2,Evening,5.9,227.45,67.96,108.13,72.59,122.3,11.39,71.99,5.88,12.29,23.13,0.2081,43.94,49.93,1,burn_mark
B100823,M3,Day,0.1,217.93,39.15,105.1,45.37,100.0,16.37,69.22,4.7,9.5,20.08,0.031,47.84,49.125,1,burn_mark
B100824,M4,Evening,10.3,238.23,62.36,116.37,74.99,128.1,11.25,75.6,4.74,16.73,27.22,0.1457,48.56,50.408,0,none
B100825,M1,Evening,2.7,214.56,53.01,138.79,67.51,140.1,9.7,76.31,5.55,16.71,28.03,0.005,61.41,50.354,0,none
B100826,M3,Day,13.0,231.99,64.25,87.5,77.96,107.6,16.7,59.62,4.74,11.08,21.56,0.0921,69.94,48.641,0,none
B100827,M1,Day,14.3,246.87,46.81,137.55,74.66,106.2,17.75,67.44,4.09,18.11,26.4,0.1744,56.15,50.349,1,burn_mark
B100828,M5,Night,6.0,240.79,55.24,106.33,58.73,128.9,16.42,71.39,4.44,21.29,32.53,0.0248,44.66,49.307,0,none
B100829,M2,Evening,8.8,245.42,53.97,123.97,57.52,99.4,13.17,76.99,3.94,10.85,21.41,0.026,62.14,50.955,0,none
B100830,M3,Evening,2.1,241.2,44.98,109.86,86.75,82.1,6.24,77.2,7.52,14.37,28.41,0.1214,44.1,49.807,0,none
B100831,M3,Evening,9.5,259.1,42.2,149.88,55.64,128.8,19.93,71.97,5.58,18.57,30.58,0.005,25.0,51.212,1,burn_mark
B100832,M2,Evening,5.0,229.12,49.2,121.87,71.23,117.3,6.18,63.4,8.88,15.97,30.56,0.0458,37.5,49.846,0,none
B100833,M3,Evening,2.7,238.98,56.3,109.38,54.28,116.8,16.34,62.78,6.06,9.14,20.59,0.005,26.28,49.536,1,warpage
B100834,M4,Day,5.8,230.62,47.43,115.48,32.07,133.0,22.44,55.7,6.38,13.8,25.16,0.1574,46.16,49.195,0,none
B100835,M3,Evening,5.1,244.57,51.7,121.34,41.59,136.5,14.6,77.11,3.91,13.63,25.08,0.005,48.22,50.448,0,none
B100836,M4,Evening,5.7,234.38,36.14,122.67,66.09,116.0,15.16,62.61,5.17,15.15,26.3,0.0361,34.07,49.37,0,none
B100837,M5,Day,10.8,252.19,51.29,126.58,70.52,91.9,15.52,67.7,5.61,15.36,25.31,0.0067,41.46,50.387,0,none
B100838,M2,Night,3.9,229.69,65.24,119.98,66.14,104.0,14.79,72.85,4.54,23.83,34.34,0.0939,35.74,50.47,0,none
B100839,M3,Day,13.9,249.07,62.05,99.34,77.19,134.6,23.4,70.05,4.8,14.96,23.68,0.0823,48.73,49.196,0,none
B100840,M1,Evening,1.7,240.93,54.13,114.9,65.87,123.4,10.63,69.93,6.13,7.41,19.79,0.0224,41.47,50.153,0,none
B100841,M4,Evening,13.5,234.68,57.44,129.1,48.37,106.3,10.13,59.14,6.16,16.46,28.76,0.0415,60.1,49.943,0,none
B100842,M3,Evening,2.9,240.42,46.72,109.95,68.91,100.4,12.69,73.23,3.49,24.74,33.69,0.005,51.7,49.748,1,short_shot
B100843,M2,Evening,7.0,237.61,71.24,130.09,62.54,135.4,20.96,66.25,5.93,15.16,26.15,0.0369,66.05,49.934,0,none
B100844,M1,Night,5.0,238.56,75.68,120.48,51.37,114.5,11.69,68.96,6.33,13.81,26.7,0.0163,45.45,50.35,0,none
B100845,M5,Evening,5.6,232.93,56.65,116.73,67.09,138.8,15.72,83.9,4.61,14.47,25.01,0.0581,71.44,50.549,0,none
B100846,M2,Evening,10.2,227.98,80.91,137.91,61.19,142.0,18.28,76.06,4.46,18.92,27.44,0.0159,50.03,50.609,1,short_shot
B100847,M3,Evening,13.0,231.65,48.2,93.93,50.92,112.2,17.12,63.15,6.16,14.45,27.82,0.005,44.72,49.309,0,none
B100848,M1,Day,11.8,218.17,42.49,109.87,57.33,143.7,18.07,68.21,1.64,8.42,15.12,0.005,74.09,49.621,0,none
B100849,M5,Day,5.4,243.42,47.9,138.49,81.2,123.5,19.67,89.19,5.5,12.64,22.83,0.0654,31.71,50.766,0,none
B100850,M1,Evening,7.7,222.65,52.81,147.45,80.71,126.7,15.23,66.31,7.95,15.68,30.99,0.073,44.47,50.815,0,none
B100851,M1,Day,3.9,232.82,78.12,154.29,62.82,65.3,12.17,70.48,1.61,18.68,27.34,0.0335,33.35,50.796,1,short_shot
B100852,M5,Day,3.0,241.48,52.19,120.76,60.86,95.7,14.59,77.97,6.73,13.09,25.4,0.0393,31.62,49.72,0,none
B100853,M5,Day,2.4,243.39,46.4,126.87,38.5,97.1,12.64,72.58,6.32,14.52,25.58,0.0455,29.33,50.276,0,none
B100854,M1,Evening,5.2,217.25,46.02,132.26,85.79,112.0,24.09,65.53,3.34,16.22,24.66,0.0718,56.17,49.97,1,burn_mark
B100855,M2,Day,8.0,234.08,66.4,139.13,75.55,122.9,11.87,61.08,6.28,12.11,23.96,0.0806,36.71,50.091,0,none
B100856,M4,Night,0.0,239.6,64.97,124.7,71.28,123.9,15.93,69.88,7.0,15.54,29.76,0.0625,47.45,50.127,0,none
B100857,M5,Evening,6.8,235.52,50.15,133.89,25.88,127.1,8.0,77.9,3.74,18.34,29.37,0.0803,58.92,50.84,1,short_shot
B100858,M2,Evening,13.1,248.44,36.24,126.9,60.61,102.9,14.53,85.85,4.44,10.07,20.67,0.0152,54.63,50.783,0,none
B100859,M3,Day,11.5,226.78,43.71,127.83,58.09,137.3,12.85,52.42,5.54,17.53,29.72,0.0215,54.14,50.162,0,none
B100860,M4,Evening,4.7,214.51,72.21,106.22,70.24,165.2,16.7,91.15,6.97,10.55,23.31,0.0327,62.14,50.134,1,burn_mark
B100861,M4,Day,1.4,243.1,61.89,115.06,53.23,111.2,16.81,66.54,4.69,10.65,20.46,0.0099,66.09,49.633,0,none
B100862,M4,Evening,8.8,229.63,55.65,112.16,56.52,103.4,19.67,81.1,5.44,12.69,22.62,0.0529,37.48,50.267,0,none
B100863,M3,Day,0.0,217.41,73.69,102.17,69.29,102.9,19.35,61.15,4.5,22.83,33.65,0.2016,54.83,49.0,1,burn_mark
B100864,M1,Night,11.4,233.41,74.58,95.23,48.4,122.1,13.73,50.67,5.54,7.42,19.86,0.0194,47.28,48.534,1,short_shot
B100865,M5,Day,6.1,247.31,54.64,113.65,51.39,106.9,10.22,54.24,7.07,13.68,26.24,0.0644,48.53,49.938,0,none
B100866,M5,Evening,14.3,222.37,54.82,116.04,62.9,76.7,10.69,66.03,5.66,15.87,28.71,0.005,34.89,50.23,0,none
B100867,M4,Day,0.1,258.36,49.18,121.58,80.08,83.6,15.21,76.29,4.96,21.84,32.41,0.0267,44.68,50.064,1,burn_mark
B100868,M1,Evening,10.7,226.62,52.15,128.34,72.13,145.5,14.63,70.37,5.45,25.74,37.27,0.0089,45.77,49.931,0,none
B100869,M1,Evening,6.6,235.87,40.14,122.82,76.13,152.0,15.03,67.0,4.3,13.89,23.97,0.005,64.3,49.314,0,none
B100870,M4,Day,5.7,222.81,40.1,116.15,60.95,160.0,11.86,83.42,4.01,18.7,29.94,0.2891,38.45,49.919,1,burn_mark
B100871,M1,Day,1.5,235.42,37.77,106.27,82.43,125.7,19.75,70.02,7.31,15.53,29.33,0.0134,26.15,49.427,1,short_shot
B100872,M5,Day,9.4,233.66,65.84,133.16,33.88,95.2,8.11,73.36,7.96,15.5,29.39,0.2304,49.94,51.394,1,burn_mark
B100873,M2,Day,9.7,220.11,39.39,118.47,90.33,109.0,11.64,105.0,2.81,17.37,26.26,0.0305,37.43,49.8,0,none
B100874,M4,Night,14.1,263.26,74.5,113.49,92.28,82.7,9.69,69.9,6.37,8.07,19.26,0.047,48.6,50.241,1,burn_mark
B100875,M5,Evening,11.0,230.05,47.7,117.2,66.85,81.8,13.16,61.65,6.79,15.76,26.32,0.2262,56.61,49.712,1,burn_mark
B100876,M2,Day,4.6,230.06,72.37,109.01,72.48,126.4,18.99,75.77,3.68,18.25,27.4,0.0697,49.0,50.369,0,none
B100877,M2,Night,3.0,244.69,51.35,112.04,59.43,133.5,12.85,78.81,4.79,11.7,22.3,0.0383,45.69,50.15,0,none
B100878,M3,Day,1.5,253.14,39.34,111.56,56.86,169.0,14.41,73.61,4.63,18.29,29.45,0.0206,48.43,50.105,1,burn_mark
B100879,M3,Evening,12.9,246.26,67.84,115.69,50.84,117.9,16.66,71.88,8.35,7.36,21.55,0.0254,58.47,50.465,0,none
B100880,M2,Evening,3.9,222.99,69.02,129.84,59.26,86.1,12.66,87.79,7.98,16.47,29.98,0.0283,38.45,50.649,0,none
B100881,M3,Night,12.9,237.14,45.94,126.11,68.34,117.0,15.53,86.29,4.12,22.71,29.88,0.0077,57.28,50.785,0,none
B100882,M5,Evening,9.1,216.19,51.68,143.2,66.3,112.9,15.0,68.59,3.31,14.91,24.75,0.0545,39.96,50.519,0,none
B100883,M2,Evening,8.3,244.02,45.94,138.18,89.8,107.7,9.48,62.28,6.66,11.11,23.98,0.0111,56.02,49.712,0,none
B100884,M1,Night,5.8,218.65,53.79,149.35,61.5,128.6,12.14,75.15,6.32,8.87,22.0,0.0617,34.57,50.906,1,burn_mark
B100885,M2,Day,9.6,226.97,56.08,128.39,37.67,89.6,15.42,62.21,7.37,17.95,31.35,0.0274,55.43,50.373,1,burn_mark
B100886,M2,Night,6.9,234.97,51.49,128.15,84.66,123.3,19.13,80.62,3.91,20.64,31.7,0.0715,48.98,49.951,0,none
B100887,M1,Night,5.5,239.45,36.81,112.69,41.69,136.3,19.13,75.09,6.59,15.72,27.75,0.0727,50.97,50.234,0,none
B100888,M1,Night,9.8,232.39,49.19,132.39,51.61,155.5,22.38,102.04,4.4,13.68,24.04,0.005,59.59,50.415,0,none
B100889,M3,Day,6.4,250.19,62.04,110.16,64.08,127.8,15.94,87.68,6.43,6.35,19.02,0.0124,41.79,50.335,1,burn_mark
B100890,M2,Day,3.8,242.23,52.91,97.94,66.26,146.1,12.35,57.06,5.44,16.62,28.72,0.067,49.75,49.365,0,none
B100891,M5,Evening,9.4,241.45,51.73,142.89,38.32,108.9,13.74,63.77,8.35,12.55,27.32,0.1176,53.03,51.212,0,none
B100892,M1,Evening,6.7,222.71,45.69,101.26,48.8,112.4,13.54,47.03,6.17,12.84,25.49,0.005,47.01,49.151,1,burn_mark
B100893,M1,Evening,9.0,251.99,48.9,126.58,37.79,153.7,12.37,44.35,5.03,24.08,35.38,0.1428,57.17,49.851,1,burn_mark
B100894,M4,Night,5.2,226.97,69.09,106.8,69.33,85.7,15.53,71.37,5.71,6.99,18.51,0.0344,53.3,48.905,1,warpage
B100895,M5,Evening,2.2,252.38,43.6,136.9,77.75,109.9,15.72,55.69,5.35,7.66,19.91,0.005,44.2,50.633,1,burn_mark
B100896,M2,Day,13.9,255.22,62.21,138.94,41.67,148.2,9.3,89.69,3.77,17.16,25.25,0.1335,62.61,51.591,1,burn_mark
B100897,M1,Evening,13.2,240.13,55.47,127.94,74.93,114.7,18.35,83.89,8.39,14.07,27.83,0.2145,55.62,50.616,0,none
B100898,M1,Day,10.5,245.32,57.45,138.7,73.96,112.9,6.65,66.74,7.9,13.41,28.9,0.0069,41.57,51.099,0,none
B100899,M3,Day,5.4,204.17,47.68,120.11,50.11,113.4,13.11,66.06,5.24,17.36,27.93,0.092,41.47,48.998,0,none
B100900,M2,Day,5.8,233.05,51.48,153.51,30.26,122.9,18.6,87.82,6.55,17.28,29.75,0.0161,47.8,52.261,0,none
B100901,M2,Night,12.5,246.02,54.94,131.19,43.93,147.2,16.43,90.58,8.58,11.13,27.1,0.0452,54.47,50.877,1,burn_mark
B100902,M1,Evening,5.6,244.25,49.79,106.49,51.07,143.1,12.57,58.81,7.36,13.04,26.27,0.0668,27.87,49.888,0,none
B100903,M2,Evening,4.5,222.8,58.31,121.04,83.13,120.3,21.88,57.27,5.04,16.25,26.45,0.0059,41.99,49.358,0,none
B100904,M5,Day,14.5,232.06,59.57,117.71,58.23,147.3,12.24,66.39,5.37,16.84,29.4,0.0891,44.23,49.712,0,none
B100905,M3,Evening,6.8,209.64,76.73,116.24,44.9,128.5,5.99,75.17,2.92,18.42,27.05,0.113,35.62,49.233,1,burn_mark
B100906,M2,Night,14.1,239.13,57.78,95.14,62.22,141.5,15.81,63.84,6.66,13.08,25.53,0.0303,39.78,48.935,0,none
B100907,M1,Night,1.4,216.17,35.88,125.8,40.57,94.3,6.89,75.43,7.36,17.74,29.12,0.0309,51.37,50.358,1,burn_mark
B100908,M2,Evening,9.1,246.3,66.63,99.21,67.72,163.5,10.67,93.4,7.37,20.75,34.0,0.0386,45.11,50.061,0,none
B100909,M2,Night,15.3,246.83,52.96,82.12,45.34,125.5,16.49,53.13,6.55,16.23,29.47,0.0221,45.9,49.183,0,none
B100910,M4,Evening,7.1,230.26,75.12,114.84,47.51,51.3,12.16,64.65,6.03,15.49,27.08,0.0056,36.21,49.55,1,short_shot
B100911,M5,Evening,5.9,240.21,69.71,108.66,65.63,161.5,16.32,53.36,4.0,14.82,23.54,0.0129,47.86,49.61,1,burn_mark
B100912,M5,Night,2.3,232.83,49.95,107.08,86.25,120.1,9.37,59.96,5.98,12.91,24.41,0.0142,34.96,49.14,1,short_shot
B100913,M5,Day,11.3,237.42,62.22,73.45,92.97,110.1,17.43,66.46,4.55,11.31,21.25,0.0073,64.59,48.461,0,none
B100914,M5,Day,3.9,223.53,49.06,107.24,44.4,104.9,7.24,61.27,6.29,14.51,26.54,0.0639,67.43,49.606,1,burn_mark
B100915,M5,Day,6.6,241.22,55.03,117.4,51.05,131.0,19.27,76.24,4.35,18.25,28.09,0.06,45.27,50.064,0,none
B100916,M1,Evening,2.1,218.59,61.76,110.49,67.73,97.8,12.1,71.81,6.28,11.55,25.5,0.0066,38.78,49.516,1,burn_mark
